	ID	name	rel_text	rel_ID	rel_name	xml	date
0	pl__wien-immo_rennweg_1	drei Achtel Weingarten am Rennweg	am Rennweg	pl__wien-rennweg	Rennweg vor Stubentor (III. Bezirk)	3237.xml	1448-01-20
1	pl__wien-immo_kaerntnerstrasse_4	Flöderl Haus	in der Kernerstrass	pl__wien-kaerntnerstrasse	Kärntnerstrasse (I.Bezirk) Kernerstrass	3238.xml	1448-02-09
2	pl__wien-immo_setzen_obere_vor_stubentor_1	Michael Oberndorfer Achteil Weingarten	gelegen in den obern Setzen	pl__wien-setzen_obere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
3	pl__wien-immo_setzen_obere_vor_stubentor_1	Michael Oberndorfer Achteil Weingarten	zenagst	pl__wien-immo_setzen_obere_vor_stubentor_2	Johann Smogel Vierteil Weingarten	3240.xml	1448-02-14
4	pl__wien-immo_praitten_2	Niclasen, des maurer, und Kathrein anderthalb achtail Weingarten	gelegen auf der Praitten	pl__wien-praitten	auf der Praitten (III. Bezirk)	3240.xml	1448-02-14
5	pl__wien-immo_praitten_2	Niclasen, des maurer, und Kathrein anderthalb achtail Weingarten	zenagst	pl__wien-immo_praitten_4	Mertten des Litschauer von Erdpurkch weingarten	3240.xml	1448-02-14
6	pl__wien-immo_setzen_obere_vor_stubentor_3	Thomas Sevelder Achteil Weingarten	gelegen in den obern Setzen	pl__wien-setzen_obere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
7	pl__wien-immo_setzen_obere_vor_stubentor_3	Thomas Sevelder Achteil Weingarten	zenagst	pl__wien-immo_setzen_obere_vor_stubentor_4	Wolfgang Swarcz Weingarten	3240.xml	1448-02-14
8	pl__wien-immo_setzen_obere_vor_stubentor_5	Stephan Düring Achteil Weingarten	gelegen daselbs [ 291] in den obern Setzen	pl__wien-setzen_obere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
9	pl__wien-immo_setzen_obere_vor_stubentor_5	Stephan Düring Achteil Weingarten	zenagst	pl__wien-immo_setzen_obere_vor_stubentor_2	Johann Smogel Vierteil Weingarten	3240.xml	1448-02-14
10	pl__wien-immo_setzen_obere_vor_stubentor_2	Johann Smogel Vierteil Weingarten	auch in den obern Setzen gelegen	pl__wien-setzen_obere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
11	pl__wien-immo_setzen_obere_vor_stubentor_2	Johann Smogel Vierteil Weingarten	zenagst	pl__wien-immo_setzen_obere_vor_stubentor_5	Stephan Düring Achteil Weingarten	3240.xml	1448-02-14
12	pl__wien-immo_setzen_niedere_vor_stubentor_1	Jakob Flachenauer dritthalb achtail Weingarten	gelegen in den nidern Setzen	pl__wien-setzen_niedere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
13	pl__wien-immo_setzen_niedere_vor_stubentor_1	Jakob Flachenauer dritthalb achtail Weingarten	zenagst	pl__wien-immo_setzen_niedere_vor_stubentor_2	Stephan und Dorothea Rayer (Reicher) Vierteil Weingarten	3240.xml	1448-02-14
14	pl__wien-immo_setzen_niedere_vor_stubentor_2	Stephan und Dorothea Rayer (Reicher) Vierteil Weingarten	gelegen daselbs in den nidern Setzen	pl__wien-setzen_niedere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
15	pl__wien-immo_setzen_niedere_vor_stubentor_2	Stephan und Dorothea Rayer (Reicher) Vierteil Weingarten	zenagst	pl__wien-immo_setzen_niedere_vor_stubentor_1	Jakob Flachenauer dritthalb achtail Weingarten	3240.xml	1448-02-14
16	pl__wien-immo_setzen_niedere_vor_stubentor_3	Konrad und Dorothea Knöbel Achtteil Weingarten	auch gelegen in den nidern Setzen	pl__wien-setzen_niedere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
17	pl__wien-immo_setzen_niedere_vor_stubentor_3	Konrad und Dorothea Knöbel Achtteil Weingarten	zenagst	pl__wien-immo_setzen_niedere_vor_stubentor_2	Stephan und Dorothea Rayer (Reicher) Vierteil Weingarten	3240.xml	1448-02-14
18	pl__wien-immo_setzen_niedere_vor_stubentor_4	Thomas Mairl Vierteil Weingarten	auch gelegen in den nidern Setzen	pl__wien-setzen_niedere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
19	pl__wien-immo_setzen_niedere_vor_stubentor_4	Thomas Mairl Vierteil Weingarten	zenagst	pl__wien-immo_setzen_niedere_vor_stubentor_3	Konrad und Dorothea Knöbel Achtteil Weingarten	3240.xml	1448-02-14
20	pl__wien-immo_setzen_niedere_vor_stubentor_5	Georg und Agnes Sevelder Achtteil Weingarten	auch gelegen in den nidern Setzen	pl__wien-setzen_niedere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
21	pl__wien-immo_setzen_niedere_vor_stubentor_5	Georg und Agnes Sevelder Achtteil Weingarten	zenagst	pl__wien-immo_setzen_niedere_vor_stubentor_6	des Hinlaufs weingarten	3240.xml	1448-02-14
22	pl__wien-immo_setzen_niedere_vor_stubentor_7	Veit Frechinger Achtteil Weingarten	auch gelegen in den nidern Setzen	pl__wien-setzen_niedere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
23	pl__wien-immo_setzen_niedere_vor_stubentor_7	Veit Frechinger Achtteil Weingarten	zenagst	pl__wien-immo_setzen_niedere_vor_stubentor_5	Georg und Agnes Sevelder Achtteil Weingarten	3240.xml	1448-02-14
24	pl__wien-immo_setzen_niedere_vor_stubentor_8	Albrecht Amberger Achtteil Weingarten	daselbs in den nidern Setzen gelegen	pl__wien-setzen_niedere_vor_stubentor	in den oberen Saetzen vor Stubentor	3240.xml	1448-02-14
25	pl__wien-immo_setzen_niedere_vor_stubentor_8	Albrecht Amberger Achtteil Weingarten	zenachst	pl__wien-immo_setzen_niedere_vor_stubentor_7	Veit Frechinger Achtteil Weingarten	3240.xml	1448-02-14
26	pl__wien-immo_praitten_1	Hannsen, des reisner, und Elspeten anderthalb achtail Weingarten	gelegen auf der Praitten	pl__wien-praitten	auf der Praitten (III. Bezirk)	3240.xml	1448-02-14
27	pl__wien-immo_praitten_1	Hannsen, des reisner, und Elspeten anderthalb achtail Weingarten	zenagst	pl__wien-immo_praitten_3	Friedrich Krevogel Weingarten	3240.xml	1448-02-14
28	pl__wien-immo_geraeut_vor_stubentor_2	Leonhard Stengel Haus	vor Stubentor im Gre/autt	pl__wien-geraeut_vor_stubentor	Im Geräut, vor Stubentor	3245.xml	1448-03-14
29	pl__wien-immo_schottentor_1	Johann Spannberger Haus	vor Schottentor	pl__wien-schottentor	Schottentor	3245.xml	1448-03-14
30	pl__wien-immo_lange_gasse_1	Weingarten gennant der Griess	gelegen oberhalb des Heiligen Geists in der Langengassen	pl__wien-lange_gasse	Lange Gasse oberhalb des Heiligengeistes	3246.xml	1448-03-27
31	pl__wien-immo_lange_gasse_1	Weingarten gennant der Griess	zenagst	pl__wien-immo_lange_gasse_2	ainem halben jeuch weingarten, das zu des Pogenstainer messe hincz sand Maria Magdalena geho/eret	3246.xml	1448-03-27
32	pl__grinzing-immo_peunten_1	Zwei Joch Weingarten	gelegen zu Grinczing ob des Tu/orns in den Peunten	pl__grinzing-peunten	in den peunten	3246.xml	1448-03-27
33	pl__grinzing-immo_peunten_1	Zwei Joch Weingarten	zenagst	pl__grinzing-immo_peunten_2	Weingarten der Minoriten	3246.xml	1448-03-27
34	pl__wien-immo_neulukchen_vor_widmertor_1	Friedrich Wurmprant Haus ehm. Niklas und Barbara Puckler, schuster von Starßburg Haus	gelegen vor Widmertor in der Neulukchen	pl__wien-neulukchen_vor_widmertor	Neulukchen vor Widmertor	3248.xml	1448-04-30
35	pl__wien-immo_neulukchen_vor_widmertor_1	Friedrich Wurmprant Haus ehm. Niklas und Barbara Puckler, schuster von Starßburg Haus	zenagst	pl__wien-immo_neulukchen_vor_widmertor_2	Johann Zehentner Haus	3248.xml	1448-04-30
36	pl__sievering-immo_schenkchenperg_1	Agnes und Michael Scheller Joch Weingarten Füchselmesse Weingarten	gelegen am Schenkchenperg	pl__sievering-schenkchenperg	am Schenkchenperg	3250.xml	1448-05-03
37	pl__sievering-immo_schenkchenperg_1	Agnes und Michael Scheller Joch Weingarten Füchselmesse Weingarten	zenagst	pl__sievering-immo_schenkchenperg_2	Theobald Macher Weingarten	3250.xml	1448-05-03
38	pl__st_veit-immo_1	Füchsels ein Joch Weingarten an dem Hegkenperg	gelegen dacz Sand Veit an dem He/agkenperg	pl__st_veit	St. Veit	3257.xml	1448-06-26
39	pl__st_veit-immo_1	Füchsels ein Joch Weingarten an dem Hegkenperg	zenagst	pl__st_veit-immo_2	Johann Gruntreich Weingarten an dem Hegkenperg	3257.xml	1448-06-26
40	pl__meidling-immo_1	Michael Füchsels Weingarten in der Laincz	zu Meurling in der Lainncz	pl__meidling	Meidling Meuerling	3258.xml	1448-06-26
41	pl__meidling-immo_1	Michael Füchsels Weingarten in der Laincz	zenagst	pl__meidling-immo_2	Philipp auf dem Pach Weingarten in der Laincz	3258.xml	1448-06-26
42	pl__wien-immo_st_michael_1	Niklas und Elisabeth Plumentrit halbes Haus	gelegen bei sannd Michel	pl__wien-st_michael	St. Michael - Pfarrkirche (I. Bezirk)	3259.xml	1448-06-28
43	pl__wien-immo_st_michael_1	Niklas und Elisabeth Plumentrit halbes Haus	gegen	pl__wien-immo_st_michael_2	Von Wallsee Haus	3259.xml	1448-06-28
44	pl__wien-immo_st_michael_1	Niklas und Elisabeth Plumentrit halbes Haus	zunagst	pl__wien-immo_st_michael_3	Jakob Gsmechl, der kursner, Haus	3259.xml	1448-06-28
45	pl__wien-immo_st_michael_4	Konrad Müllner, der schuster, Haus	des gegentail	pl__wien-immo_st_michael_3	Jakob Gsmechl, der kursner, Haus	3259.xml	1448-06-28
46	pl__meidling-immo_3	Füchselmesse Hof mit Zubehör ehm. Agnes Füchselin Hof ehm. Ulrich Eibesprunner Hof	zunächst dem Spitalhof	pl__meidling-buergerspitalhof	Bürgerspitalhof zu Meidling Spitalhof	3260.xml	1448-07-06
47	pl__sievering-immo_schenkchenperg_1	Agnes und Michael Scheller Joch Weingarten Füchselmesse Weingarten	am Schenkenperg	pl__sievering-schenkchenperg	am Schenkchenperg	3260.xml	1448-07-06
48	pl__sievering-immo_schenkchenperg_1	Agnes und Michael Scheller Joch Weingarten Füchselmesse Weingarten	zunächst	pl__sievering-immo_schenkchenperg_2	Theobald Macher Weingarten	3260.xml	1448-07-06
49	pl__st_veit-immo_1	Füchsels ein Joch Weingarten an dem Hegkenperg	zu St. Veit am Hekkenperg	pl__st_veit	St. Veit	3260.xml	1448-07-06
50	pl__wien-immo_schaufllucken_1	Paul Schernheimer Haus	gelegen daselbs bei sannd Michel in der Schaufllucken	pl__wien-schaufllucken	Schaufllucken bei St. Michael (I.Bezirk)	3261.xml	1448-07-08
51	pl__wien-immo_schaufllucken_1	Paul Schernheimer Haus	zenagst	pl__wien-immo_schaufllucken_2	Jakob von Brunn, der schneider, Haus	3261.xml	1448-07-08
52	pl__wien-immo_schaufllucken_1	Paul Schernheimer Haus	und an dem andern zenagst	pl__wien-immo_schaufllucken_3	des Perner haus	3261.xml	1448-07-08
53	pl__wien-immo_steig_bei_den_predigern_4	Johann und Dorothea Welser Haus	auf dem Steig	pl__wien-steig_bei_den_predigern	Auf dem Steig, bei den Predigern auf dem Steig	3262.xml	1448-07-08
54	pl__wien-immo_steig_bei_den_predigern_4	Johann und Dorothea Welser Haus	zenagst	pl__wien-immo_steig_bei_den_predigern_5	weilent Ulrich von Steir Haus	3262.xml	1448-07-08
55	pl__wien-immo_hoher_markt_3	Johann Payr, des schuster, Haus	gelegen am Hohenmarkt	pl__wien-hoher_markt	Hohermarkt (I.Bezirk) forum altum forum	3263.xml	1448-07-10
56	pl__wien-immo_hoher_markt_3	Johann Payr, des schuster, Haus	gegen dem Vischmarkt über	pl__wien-hoher_markt_fischmarkt	Fischmarkt, an dem hohenmarkt	3263.xml	1448-07-10
57	pl__wien-immo_hoher_markt_3	Johann Payr, des schuster, Haus	zenagst	pl__wien-immo_hoher_markt_4	Johann Waitzen, des kursner, Haus	3263.xml	1448-07-10
58	pl__wien-immo_tiefer_graben_1	Dorothea und Pankraz Widmer Haus	gelegen im Teuffengraben	pl__wien-tiefer_graben	Tiefer Graben (I.Bezirk) Teuffergraben	3264.xml	1448-08-05
59	pl__wien-immo_tiefer_graben_1	Dorothea und Pankraz Widmer Haus	zenagst	pl__wien-immo_tiefer_graben_2	Thomas Trager Haus	3264.xml	1448-08-05
60	pl__wien-immo_tiefer_graben_1	Dorothea und Pankraz Widmer Haus	an aim tail	pl__wien-immo_tiefer_graben_2	Thomas Trager Haus	3264.xml	1448-08-05
61	pl__wien-immo_tiefer_graben_1	Dorothea und Pankraz Widmer Haus	an dem andern zenagst	pl__wien-immo_tiefer_graben_3	Egidius Zimmermann Haus	3264.xml	1448-08-05
62	pl__wien-immo_weinhaus_an_der_oberhohenbart_1	fünf Vierteil Weingarten der Kastnermesse	gelegen pei dem Weinhaus an der Obernhohenbart	pl__wien-weinhaus_an_der_oberhohenbart	Weinhaus an der Oberhohenbart	3265.xml	1448-08-06
63	pl__wien-immo_weinhaus_an_der_oberhohenbart_1	fünf Vierteil Weingarten der Kastnermesse	zenagst	pl__wien-immo_weinhaus_an_der_oberhohenbart_2	Niksls Undermhimmel Weingarten	3265.xml	1448-08-06
64	pl__wien-immo_st_maria_im_rathaus_1	ehm. Hausteil Ulrich Würfel	gegen Otten und Haimen capellen zu Wienn über	pl__wien-st_maria_im_rathaus	S. Maria - Kapelle im Rathaus	3270.xml	1448-08-19
65	pl__wien-immo_st_maria_im_rathaus_2	ehm. Hausteil Ulrich Würfel	gegen Otten und Haimen capellen zu Wienn über	pl__wien-st_maria_im_rathaus	S. Maria - Kapelle im Rathaus	3270.xml	1448-08-19
66	pl__wien-immo_st_maria_im_rathaus_3	ehm. Hausteil Ulrich Würfel	gegen Otten und Haimen capellen zu Wienn über	pl__wien-st_maria_im_rathaus	S. Maria - Kapelle im Rathaus	3270.xml	1448-08-19
67	pl__wien-immo_riemerstrasse_5	Michael Praunsperger, der riemer, Haus	gelegen in der Riemergassen	pl__wien-riemerstrasse	Riemerstrass (I. Bezirk)	3274.xml	1448-09-13
68	pl__wien-immo_riemerstrasse_5	Michael Praunsperger, der riemer, Haus	zenagst	pl__wien-immo_riemerstrasse_4	Meinhard Riemer Haus	3274.xml	1448-09-13
69	pl__wien-immo_riemerstrasse_5	Michael Praunsperger, der riemer, Haus	und an dem andern zenagst	pl__wien-immo_riemerstrasse_2	Simon Vankch Haus	3274.xml	1448-09-13
70	pl__wien-immo_riemerstrasse_5	Michael Praunsperger, der riemer, Haus	und stosset mit dem hindern tail an	pl__wien-immo_riemerstrasse_3	Johann Winter, der kramer, Haus ehm. Christian, des maurer, Haus	3274.xml	1448-09-13
71	pl__wien-immo_kamerhof_1	Stephan Gibing Haus	im Kamerhof gelegen	pl__wien-kamerhof	Kamerhof (I.Bezirk)	3275.xml	1448-09-20
72	pl__wien-immo_hochstrasse_1	Johann Stremphl und Stephan Sorgenfrey, der huter, Haus ehm. Heinrich Staindlperger, der pekch, Haus	auf der Hochstrass gelegen	pl__wien-hochstrasse	Hochstrass (I. Bezirk)	3276.xml	1448-09-23
73	pl__wien-immo_haarmarkt_2	Johann Hermann (halbes) Haus ehm. Niklas Kramhofer Haus ehm. Lukas, des salzer, Haus	gelegen daselbs zu Wienn am Harmarkcht an dem egk	pl__wien-haarmarkt	Haarmarkt (I.Bezirk)	3278.xml	1448-11-08
74	pl__wien-immo_haarmarkt_2	Johann Hermann (halbes) Haus ehm. Niklas Kramhofer Haus ehm. Lukas, des salzer, Haus	gegen	pl__wien-immo_haarmarkt_3	Georg von Nikolsburg Haus	3278.xml	1448-11-08
75	pl__wien-immo_haarmarkt_2	Johann Hermann (halbes) Haus ehm. Niklas Kramhofer Haus ehm. Lukas, des salzer, Haus	zenagst der gassen, als man an den Alten Fleischmarkcht get, an aim tail	pl__wien-alter_fleischmarkt_gasse_bei	Gasse Fleischmarkt-Haarmarkt	3278.xml	1448-11-08
76	pl__wien-immo_haarmarkt_2	Johann Hermann (halbes) Haus ehm. Niklas Kramhofer Haus ehm. Lukas, des salzer, Haus	und an dem andern zenagst	pl__wien-immo_haarmarkt_4	Weilent Ulrich von Steir Haus	3278.xml	1448-11-08
77	pl__wien-immo_unter_den_pfeilschnitzern_1	Johann Varhofer Haus	gelegen undern Pheilsniczern am ekk	pl__wien-unter_den_pfeilschnitzern	Unter den Pfeilschnitzern	3279.xml	1448-11-11
78	pl__wien-immo_unter_den_pfeilschnitzern_1	Johann Varhofer Haus	gegen	pl__wien-immo_unter_den_pfeilschnitzern_2	Konrad Phuntimaschen Haus	3279.xml	1448-11-11
79	pl__wien-immo_unter_den_pfeilschnitzern_1	Johann Varhofer Haus	zunagst	pl__wien-minoriten_gasse_bei	Gasse bei den Minoriten (I. Bezirk) gésslein bei den Weissenprüdern	3279.xml	1448-11-11
80	pl__wien-immo_unter_den_pfeilschnitzern_1	Johann Varhofer Haus	zunagst	pl__wien-seitzerhof	Seitzer Hof (I. Bezirk)	3279.xml	1448-11-11
81	pl__wien-immo_kaerntnertor_3	Johann von Eibesthal Haus ehm. Konrad Klingenpoden, des pinter, Haus	gelegen vor Kernertor	pl__wien-kaerntnertor	Kärntnerthor Kernertor	3282.xml	1448-11-29
82	pl__wien-immo_kaerntnertor_3	Johann von Eibesthal Haus ehm. Konrad Klingenpoden, des pinter, Haus	zenagst	pl__wien-immo_kaerntnertor_4	Stephan von Böhmischkrut, des pinter, Haus	3282.xml	1448-11-29
83	pl__wien-immo_huehnergesslein_1		gelegen im Húnergesslein	pl__wien-huehnergesslein		00054-eintrag_vom_1448-06-10.xml	1448-06-10
84	pl__wien-immo_huehnergesslein_1		zenagst	pl__wien-immo_huehnergesslein_2		00054-eintrag_vom_1448-06-10.xml	1448-06-10
85	pl__wien-immo_alter_fleischmarkt_1	Agatha Hulber dritt tail Haus vormals Micheln Stadl	gelegen am Alten Fleischmarkcht am egk	pl__wien-alter_fleischmarkt	Alter Fleischmarkt	00055-eintrag_vom_1448-06-21.xml	1448-06-21
86	pl__wien-immo_alter_fleischmarkt_1	Agatha Hulber dritt tail Haus vormals Micheln Stadl	zenagst dem gesslein pey Sand Larentzen kloster	pl__wien-st_laurenz	S. Laurenz, Prediger-Nonnenkloster am alten Fleischmarkt	00055-eintrag_vom_1448-06-21.xml	1448-06-21
87	pl__wien-immo_alter_fleischmarkt_1	Agatha Hulber dritt tail Haus vormals Micheln Stadl	als man zu den Hafnern get an aim tail	pl__wien-unter_den_hafnern	Unter den Hafnern	00055-eintrag_vom_1448-06-21.xml	1448-06-21
88	pl__wien-immo_wiltwerkerstrasse_3	Anna Leinburger Haus	gelegen in der Wiltwerherstrass	pl__wien-wiltwerkerstrasse	Wiltwercherstrasse	00056-eintrag_vom_1448-08-09.xml	1448-08-09
89	pl__wien-immo_wiltwerkerstrasse_3	Anna Leinburger Haus	zenegst	pl__wien-immo_wiltwerkerstrasse_4	Óttinger zuhaws	00056-eintrag_vom_1448-08-09.xml	1448-08-09
